Date,Author,Item Title,Periodical Title,Language,Language 2,Location,Author Country 2,Publisher,Publisher City,Publisher Country,Genre,Number of Pages,Original Publication Date
2018,"Jeanty, Pierre Alex",In Love With You,,English,,Haiti,America,Jeanius Publishing LLC,,,Nonfiction Book,54,2018
2018,"Jeanty, Pierre Alex",Him,,English,,Haiti,America,Jeanius Publishing LLC,,,,192,2018
2019,"Jeanty, Pierre Alex",Apologies That Never Came,,English,,Haiti,America,Andrews McMeel Publishing,Kansas City,United States,,96,2019
2019,"Jeanty, Pierre Alex",Apologies That Never Came,,English,,Haiti,America,Andrews McMeel Publishing,,,,96,2019
2021,"Jeanty, Pierre Alex",Heal. Grow. Love: Words To Help You Become,,English,,Haiti,America,Jeanius Publishing LLC,,,,163,2021
2019,"Jeanty, Pierre Alex",Ashes Of Her Love,,English,,Haiti,America,Jeanius Publishing LLC,,,Poetry Collection,107,2019
2017,"Jeanty, Pierre Alex",Her,,English,,Haiti,America,Jeanius Publishing LLC,,,Poetry Collection,144,2017
2017,"Jeanty, Pierre Alex",Her II,,English,,Haiti,America,Jeanius Publishing LLC,,,Poetry Collection,163,2017
2017,"Jeanty, Pierre Alex",Her II,,English,,Haiti,America,Jeanius Publishing LLC,,,Poetry Collection,164,2017
2015,"Jeanty, Pierre Alex",Unspoken Feelings Of A Gentleman,,English,,Haiti,America,Jeanius Publishing LLC,,,Fiction (Novel),130,2015
2018,"Jenkins, Barbara",De Rightest Place,,English,,Trinidad & Tobago,,Peepal Tree Press,,,Fiction (Novel),,2018
1996,"Jin, Meiling",Song Of The Boatwoman,,English,,Guyana,,Peepal Tree Press,Leeds,England,Fiction (Short Story Collection),,1996
1993,"Jin, Meiling",Thieving Summer,,English,,Guyana,,Hamilton,,,Fiction (Novel),,1993
1996,"Jin, Meiling",Song Of The Boatwoman,,English,,Guyana,,Peepal Tree Press,Leeds,England,Fiction (Short Story Collection),,1996
2007,"Jin, Meiling",Song Of The Boatwoman,,English,,Guyana,,Peepal Tree Press,Leeds,England,Fiction (Short Story Collection),,2007
1985,"Jin, Meiling",Gifts From My Grandmother,,English,,Guyana,,Sheba Feminist Press,London,England,Poetry Collection,,1985
1986,"Jin, Meiling",Gifts From My Grandmother,,English,,Guyana,,Sheba Feminist Press,,,Poetry Collection,,1986
1993,"Jin, Meiling",Strangers In A Hostile Landscape,,English,German,Guyana,,Druck- & Verlagscooperative,Osnabrück,Germany,Poetry Collection,,1993
1993,"Jin, Meiling",Fremde In feindlicher Landschaft,,German,,Guyana,,Druck- & Verlagscooperative,,,Poetry Collection,,1993
1987,"Jin, Meiling",To Fly With Leaden Wings,Spare rib,English,,Guyana,,Spare rib,,,,,1987
2017,"Joachim, Jean Dany","Your Voice, Poet",,English,French,Haiti,,JEBCA Editions,,,,82,2017
2014,"Joachim, Jean Dany",Avec Des Mots: Poésie,,French,,Haiti,,CreateSpace Independent Publishing Platform,,,Poem,,2014
1957,"John, Errol",Moon On A Rainbow Shawl,Bocas Lit Fest,English,,Trinidad & Tobago,,Routledge,,,Drama,,1957
1971,"John, Gus",Because They're Black,,English,,Grenada,,Penguin Books,Harmondsworth,England,Fiction (Short Story Collection),204,1971
2006,"John, Marie-Elena",Unburnable,,English,,Antigua & Barbuda,,Amistad,,,Fiction (Novel),,2006
2008,"John, Marie-Elena",Unburnable,,English,,Antigua & Barbuda,,HarperCollins,,,Fiction (Novel),306,2008
2016,"John, Marie-Elena",Unburnable,,English,,Antigua & Barbuda,,HarperCollins,,,,,
1999,"Johnson, Catherine",Playing Sidney Poitier And Other Stories,,English,,England,,SAKS Publishing,,,,,1999
2021,"Jones, Cherie",How The One-Armed Sister Sweeps Her House,,English,,Barbados,,"Little, Brown and Company",,,Fiction (Novel),,2021
2021,"Jones, Cherie",How The One-Armed Sister Sweeps Her House,,English,,Barbados,,,,,,,2021
1991,"Jones, Evan",Tales Of The Caribbean: Anansi Stories,,English,,Jamaica,,Irwin Publishing,Concord,Canada,Fiction (Short Story Collection),,1991
1978,"Jones, Evan",Yn Hogyn Ar Longau Hwyliau,,Welsh,,United States,,Gwasg y Tir,"Caernarfon ([Penygroes, Caernarfon, Gwynedd])",,Poem,,1978
1998,"Jones, Evan",Stone Haven,,English,,United States,,Heinemann,"Oxford; Portsmouth, NH",,Fiction (Novel),,1998
1968,"Jones, Evan","Understandings, Poems",,English,,United States,,Melbourne University Press,,,Poetry Collection,,1968
1955,"Jones, Evan",High Gear,,English,,United States,,Bantam Books,New York,,Fiction (Short Story Collection),,1955
1963,"Jones, Evan",High Gear: Great Stories About Fast Cars And Their Drivers,,English,,United States,,Bantam Books,New York,,Fiction (Short Story Collection),,1963
1984,"Jones, Evan",Left At The Post,,English,,United States,,University of Queensland Press,,,Poetry Collection,,1984
2011,"Jones, Evan",Intimate Voices: The Twentieth-Century String Quartet. Vol. 2,,English,,United States,,University of Rochester Press,"Rochester, NY",,Nonfiction Book,,2011
2009,"Jones, Evan",Alone At Last,,English,,United States,,Picaro Press,"Warners Bay, N.S.W.",,Poetry Collection,,2009
2009,"Jones, Evan",An Eperiential Account of Musical Form In Xenakis's String Quartets,Intimate voices,English,,United States,,Intimate voices,,,Nonfiction Book,,2009
2012,"Jones, Evan",Unmanned Aerial Systems And Military Airships: The Rise Of U.S. Drones And Blimps,,English,,United States,,Nova Science Publ.,New York,,Nonfiction Book,,2012
2020,"Jones, Evan",Later Emperors,,English,,United States,,Carcanet Press,,,Poetry Collection,,2020
2003,"Jones, Evan",Walkable Towns: The Liveable Neighbourhoods Strategy,,English,,United States,,Ashgate Publishing,"Aldershot, Hants, England; Burlington, VT",,Nonfiction Book,,2003
2014,"Jones, Evan",Exchange Rate Movements And The South African Economy A VAR Analysis,,English,,United States,,Lap Lambert Academic Publishing,,,Nonfiction Book,,2014
1847,"Jones, Evan",The Question Answered: Who Educates The People?,,English,,United States,,Merlin Office,Newport,,Nonfiction Book,,1847
1966,"Jones, Evan",Citadel In The Wilderness,,English,,United States,,Coward-Mccann,New York,,Nonfiction Book,,1966
1993,"Jones, Evan",Seconds Out - Round One: Boxing On Cigarette And Trade Cards,,English,,United States,,Murray Cards,London,,Nonfiction Book,,1993
1969,"Jones, Evan",Kenneth Mackenzie,,English,,United States,,Oxford University Press,Melbourne,,Essay,,1969
1996,"Jones, Evan",A Thanksgiving: Poems,,English,,United States,,,Place of publication not identified,,Poetry Collection,,1996
2011,"Jones, Evan",Heavens Above!,,English,,United States,,Picaro Press,"Warners Bay, N.S.W.",,,,2011
2009,"Jones, Evan",The Politic Body And Other Poems,,English,,United States,,Picaro Press,"Warners Bay, N.S.W.",,Poetry Collection,,2009
2001,"Jones, Evan",Introductions: Poets Present Poets,,English,,United States,,Fitzhenry & Whiteside,"Markham, Ont.",,Poetry Collection,,2001
2003,"Jones, Evan",Nothing Fell Today But Rain: Poems,,English,,United States,,Fitzhenry & Whiteside,"Markham, Ont.; Allston, Mass.",,Poetry Collection,,2003
1984,"Jones, Evan",Anansi Stories,,English,,United States,,Ginn and Company,"Aylesbury, England",,Fiction (Short Story Collection),,1984
1991,"Jones, Evan",Anansi Stories,,English,,United States,,Irwin Publishing,"Concord, Ont.",,Fiction (Short Story Collection),,1991
1984,"Jones, Evan",Stories From History,,English,,United States,,Ginn and Company,"Aylesbury, England",,Fiction (Short Story Collection),,1984
1986,"Jones, Evan",Stories From History,,English,,United States,,Ginn and Company,"Aylesbury, Bucks",,Fiction (Short Story Collection),,1986
1991,"Jones, Evan",Stories From History,,English,,United States,,Irwin Publishing,"Concord, Ont.",,Fiction (Short Story Collection),,1991
1990,"Jones, Evan",Jones Genealogical Pencil Record,,English,,United States,,Genealogical Society of Utah,"Salt Lake City, Utah",,,,1990
1925,"Jones, Evan",Doethineb Llafar. Yn Bennaf Fel Y'i Clybuwyd Yng Nghantref Buallt. O Gasgliad Evan Jones,,English,,United States,,Thomas & Parry,Abertawe,,,,1925
1963,"Jones, Evan",High Gear,,English,,United States,,Bantam Books,New York,,,,1963
1960,"Jones, Evan",Inside The Whale: Poems,,English,,United States,,Frank W. Cheshire,Melbourne,,Poetry Collection,,1960
1966,"Jones, Evan",Citadel In The Wilderness: The Story Of Fort Snelling And The Old Northwest Frontier,,English,,United States,,Coward-McCann,New York,,Nonfiction Book,,1966
2001,"Jones, Evan",Citadel In The Wilderness: The Story Of Fort Snelling And The Northwest Frontier,,English,,United States,,University of Minnesota Press,Minneapolis (Minn.),,Nonfiction Book,,2001
1960,"Jones, Evan",The Father: Letters To Sons And Daughters,,English,,United States,,Deutsch,London,,,,1960
1990,"Jones, Evan",Epicurean Delight: The Life And Times Of James Beard,,English,,United States,,Alfred A. Knopf,New York,,Nonfiction Book,,1990
1992,"Jones, Evan",Epicurean Delight: The Life And Times Of James Beard,,English,,United States,,Simon & Schuster,New York,,Nonfiction Book,,1992
1976,"Jones, Evan",The World Of Cheese,,English,,United States,,Alfred A. Knopf,New York,,Nonfiction Book,,1976
1979,"Jones, Evan",The World Of Cheese,,English,,United States,,Alfred A. Knopf,New York,,Nonfiction Book,,1979
1998,"Jones, Evan",Stone Haven,,English,,United States,,Heinemann,Oxford,,Fiction (Novel),,1998
2012,"Jones, Evan",Paralogues,,English,,United States,,Carcanet Press,Manchester,,Poetry Collection,,2012
1978,"Jones, Evan",Recognitions,,English,,United States,,Australian National University Press,"Canberra; Norwalk, Conn.",,Fiction (Novel),,1978
2000,"Jones, Evan",New Canadian Poetry,,English,,United States,,Fitzhenry & Whiteside,"Markham, Ont.",,Poetry Collection,,2000
1979,"Jones, Evan",A Food Lover's Companion,,English,,United States,,HarperCollins,New York,,Nonfiction Book,,1979
1961,"Jones, Evan",Trappers And Mountain Men,,English,,United States,,American Heritage Pub. Co,New York,,Nonfiction Book,,1961
1988,"Jones, Evan",Trappers And Mountain Men,,English,,United States,,Troll Associates,"Mahwah, N.J.",,Nonfiction Book,,1988
1989,"Jones, Evan",Trappers And Mountain Men,,English,,United States,,Troll Associates,New York,,Nonfiction Book,,1989
1984,"Jones, Evan",Tales Of The Caribbean: Witches And Duppies,,English,,United States,,Ginn and Company,Aylesbury,,Fiction (Short Story Collection),,1984
1984,"Jones, Evan",Tales Of The Caribbean: Witches And Duppies,,English,,United States,,Ginn and Company,"Aylesbury, Bucks",,Fiction (Short Story Collection),,1984
1984,"Jones, Evan",Tales Of The Caribbean: The Beginning Of Things,,English,,United States,,Ginn and Company,Aylesbury,,Fiction (Short Story Collection),,1984
1985,"Jones, Evan",Tales Of The Caribbean,,English,,United States,,Ginn and Company,,,Fiction (Short Story Collection),,1985
1986,"Jones, Evan",Tales Of The Caribbean,,English,,United States,,Ginn and Company,Aylesbury,,Fiction (Short Story Collection),,1986
1992,"Jones, Evan",Tales Of The Caribbean: The Beginning Of Things,,English,,United States,,Wright Group,"Bothell, WA",,Fiction (Short Story Collection),,1992
1992,"Jones, Evan",Tales Of The Caribbean: Anansi Stories,,English,,United States,,Wright Group,"Bothell, WA",,Fiction (Short Story Collection),,1992
1991,"Jones, Evan",Tales Of The Caribbean: The Beginning Of Things,,English,,United States,,Irwin Publishing,"Concord, ON",,Fiction (Short Story Collection),,1991
1992,"Jones, Evan",Tales Of The Caribbean: Witches And Duppies,,English,,United States,,Wright Group,"Bothell, WA",,Fiction (Short Story Collection),,1992
1989,"Jones, Evan",Tales Of The Caribbean: Witches And Duppies,,English,,United States,,Ginn and Company,Bucks,,Fiction (Short Story Collection),,1989
1989,"Jones, Evan",Tales Of The Caribbean: The Beginning Of Things,,English,,United States,,Ginn and Company,Bucks,,Fiction (Short Story Collection),,1989
1989,"Jones, Evan",Tales Of The Caribbean: Anansi Stories,,English,,United States,,Ginn and Company,Bucks,,Fiction (Short Story Collection),,1989
1986,"Jones, Evan",Tales Of The Caribbean: Anansi Stories,,English,,United States,,Wright Group,"Bothell, WA",,Fiction (Short Story Collection),,1986
1986,"Jones, Evan",Tales Of The Caribbean,,English,,United States,,Wright Group,"San Diego, Calif.",,Fiction (Short Story Collection),,1986
1975,"Jones, Evan",American Food: The Gastronomic Story,,English,,United States,,Dutton,New York,,Nonfiction Book,,1975
1981,"Jones, Evan",American Food: The Gastronomic Story,,English,,United States,,Random House,New York,,Nonfiction Book,,1981
1990,"Jones, Evan",American Food: The Gastronomic Story,,English,,United States,,Overlook Press,"Woodstock, N.Y.",,Nonfiction Book,,1990
1962,"Jones, Evan",The Minnesota: Forgotten River,,English,,United States,,"Holt, Rinehart and Winston",New York,,Nonfiction Book,,1962
2009,"Jones, Evan",Selima Hill And Venus Khoury-Ghata,Poetry review.,English,,United States,,Poetry Society,,,Essay,,2009
2010,"Jones, Evan",Surrealism In Greece And Young Greek Poets,PN review.,English,,United States,,"Dept. of English, University of Mancheste",,,Essay,,2010
2009,"Jones, Evan",Nikos Stangos And Katerina Anghelaki-Rooke,PN review.,English,,United States,,"Dept. of English, University of Manchester",,,Essay,,2009
1983,"Jones, Evan",Monetarism In Practice,australianq The Australian Quarterly,English,,United States,,The Australian Quarterly,,,,,1983
2011,"Jones, Evan",Kid's Book Of Private Spacecraft,,English,,United States,,Lulu Press,Place of publication not identified,,Fiction (Novel),,2011
2011,"Jones, Evan",Principles And Practice Of Tonal Counterpoint,,English,,United States,,Routledge,Place of publication not identified,,Nonfiction Book,,2011
2015,"Jones, Evan",Principles And Practice Of Tonal Counterpoint,,English,,United States,,Taylor and Francis,"Hoboken, United States",,Nonfiction Book,,2015
1925,"Jones, Evan",Doethineb Llafar,,English,,United States,,"Thomas a Parry, Cyf.",Abertawe,,,,1925
2006,"Jones, Evan",Treatment Of Error In Students' Second Language Writing: An Investigation Of Two Online Approaches,,English,,United States,,University of New England,,,,,2006
1978,"Jones, Evan",An Examination Of Earnings Differentials In Australian Manufacturing Industry,,English,,United States,,School of Economics University of Sydney,Sydney,,,,1978
2009,"Jones, Evan",Shostakovich To The Avant-Garde,,English,,United States,,University of Rochester Press,Rochester,,Nonfiction Book,,2009
2009,"Jones, Evan",Debussy To Villa-Lobos,,English,,United States,,University of Rochester Press,Rochester,,Nonfiction Book,,2009
1974,"Jones, Evan",Down The Alimentary Canal With Thomas Jefferson,Saturday Review/World.,English,,United States,,Saturday Review,,,,,1974
1975,"Jones, Evan",The French Touch,American Food: The Gastronomic Story.,English,,United States,,Dutton,,,,,1975
2005,"Jones, Evan",Alonso And The Drug Baron,,English,,United States,,Macmillan Publishers,"Oxford, England",,Fiction (Novel),,2005
2006,"Jones, Evan",Alonso And The Drug Baron,,English,,United States,,Macmillan Publishers,Oxford,,Fiction (Novel),,2006
1995,"Jones, Evan",Flying In The Blue And Gray In WWII,,English,,United States,,,"Clairton, Pa.",,,,1995
1994,"Jones, Evan",Skylarking,,English,,United States,,Longman Inc.,Harlow,,Fiction (Novel),,1994
1978,"Jones, Evan",The Good Life In Revolutionary Times,,English,,United States,,,,,,,1978
1967,"Jones, Evan",Understandings: Poems,,English,,United States,,Melbourne University Press ; Cambridge University Press,Carlton; London; New York,,Poetry Collection,,1967
1984,"Jones, Evan",Tales Of The Caribbean,,English,,United States,,Ginn and Company,Aylesbury,,Fiction (Short Story Collection),,1984
1810,"Jones, Evan","The Bard Or, The Towers Of Morven ; A Legendary Tale",,German,,United States,,Newman,,,Fiction (Novel),,1810
1969,"Jones, Evan",Kenneth MacKenzie,,Italian,,United States,,Oxford University Press,Melbourne,,Nonfiction Book,,1969
1972,"Jones, Evan",Cerdded Hen Ffeiriau,,Welsh,,United States,,Cymdeithas Lyfrau Ceredigion Cyf.,Aberystwyth,,,,1972
1849,"Jones, Evan","Gwentwyson, Sef Ymdrechfa Y Beirdd, Neu Awdlau Galarnadol Am Yr Anfarwol A'r Bythglodus Y Parch. Thomas Price",,Welsh,,United States,,Argraffwyd gan A. Williams,Caerfyrddin,,,,1849
1885,"Jones, Evan",Caniadau,,Welsh,,United States,,Argraffwyd gan Llewellyn Griffiths,Cwmafon,,,,1885
1884,"Jones, Evan",Llawlyfr At Wasanaeth Athrawon Yr Ysgol Sul: Sef Gofyniadau Ar lyfrau Hanesyddol Yr Hen Destament,,Welsh,,United States,,Farrant a Frost,Merthyr-Tydfil,,,,1884
1974,"Jones, Evan",Yn Hogyn Ar Longau Hwyliau,,Welsh,,United States,,Gwasg y Tir,"Penygroes, Caernarfon",,Poem,,1974
1886,"Jones, Evan",Plaid Gymreig A Deddfwriaeth I Gymru,,Welsh,,United States,,Evan Jones,Machynlleth,,,,1886
1894,"Jones, Evan",Adgofion Am Ddeugain Mlynedd O'm Gweinidogaeth,,Welsh,,United States,,W. Spurrell a'i Fab,Caerfyrddin,,,,1894
1843,"Jones, Evan","Lines On The Death Of The Rev. S. Jones, Maentwrog",,Welsh,,United States,,publisher not identified,Place of publication not identified,,,,1843
1883,"Jones, Evan","Cofiant Y Diweddar Barch Lewis Jones, Gweinidog Y Bedyddwyr Yn Nhreherbert",,Welsh,,United States,,Argraffwyd gan J.T. Lewis,Abertawy,,,,1883
1882,"Jones, Evan","John Jones Yn Yr Ysgol: Sef, Ffug-Hanesyn Ysgolaidd, Sylfaenedig Ar Ffeithiau",,Welsh,,United States,,Argraffwyd gan M.W. Williams,Solva,,,,1882
1901,"Jones, Evan","Cynghrair Cynghorau Eglwysi Rhyddion Efengylaidd: Anerchiad ... Yn Dolgellau, Ebrill 17 Eg, 1901",,Welsh,,United States,,Hughes a'i Fab,Dolgellau,,,,1901
1875,"Jones, Evan",Bythod Cymru,,Welsh,,United States,,"W. Jones, Argraffydd",Troed-y-rhiw,,,,1875
1912,"Jones, Evan",Ysgrifau Byrion. Ail gyfres Ail gyfres,,Welsh,,United States,,Cwmni y Cyhoeddwyr Cymreig,Caernarvon,,,,1912
1902,"Jones, Evan",Y Dystiolaeth,,Welsh,,United States,,C.W. Slater,Llanelwy,,,,1902
1900,"Jones, Evan",Bywyd Leuan Gwynedd; Ganddo Ef Ei Hun,,Welsh,,United States,,Cwmni'r Wasg Genedlaethol Gymreig,Caernarfon,,,,1900
2009,"Jones, Evan",Intimate Voices. The Twentieth-Century String Quartet: Shostakovich To The Avant-Garde Vol. 2,,English,,United States,,University of Rochester Press,"Rochester, NY",,Nonfiction Book,,2009
1977,"Jones, Evan",The World Of Cheese,,English,,United States,,Alfred A. Knopf,New York,,Nonfiction Book,,1977
1998,"Jones, Evan",Aventures Sur La Planète Knos,,French,,United States,,Editions Dapper,Paris,,Fiction (Novel),,1998
1969,"Jones, Evan",Wake In Fright: A Screenplay,,English,,United States,,Group W. Films,Australia,,,,1969
2009,"Jones, Evan","Cymru Evan Jones: detholiad o bapurau Evan Jones (1850-1928), Ty'n-y-pant, Llanwrtyd",,Welsh,,United States,,Gomer Press,Llandysul,,,,2009
2007,"Jones, Evan",American Food: The Gastronomic Story,,English,,United States,,Overlook Press,"Woodstock, N.Y.",,Nonfiction Book,,2007
2007,"Jones, Evan",American Food: The Gastronomic Story,,English,,United States,,Overlook Press,"Woodstock, N.Y.",,Nonfiction Book,,2007
1969,"Jones, Evan","Modesty Blaise, Superagente Femenino",,Spanish,,United States,,Joseph Scholz,Barcelona,,,,1969
1983,"Jones, Evan",Post Secondary Education Planning: The Demographic Context. A Discussion Paper,,English,,United States,,Western Australian Post Secondary Education Commission,,,,,1983
2016,"Jones, Evan T.; Condon, Margaret M.",Cabot And Bristol's Age Of Discovery: The Bristol Discovery Voyages 1480-1508,,English,,United States,Conneticut,University of Bristol,"Bristol, Gran Bretaña",,Nonfiction Book,,2016
1960,"Jones, Evan; Bunting, Basil",Poet's Theatre Presents Basil Bunting,,English,,United States,United Kingdom,"San Francisco Museum of Modern Art Digitized by : Utah State University, Merrill-Cazier Library",Logan,United States,,,1960
1880,"Jones, Evan; Hughes, John James",Bythod Cymru,,Welsh,,United States,Wales,Jones & Co.,Troed-y-rhiw,,,,1880
2013,"Jones, Evan; Klein, Jim; Imelda, Klein",Mineral Collections In Arizona,,English,,,,Mineralogical Record,Tucson,,,,2013
1876,"Jones, Evan; Roberts, T",Hanes Bywyd A Gweithiaiu Barddonol ...: `Yn Cynnys: Gweithiau Barddonol',,Welsh,,United States,England,Hughes & Son,Wrexham,,,,1876
1980,"Jones, Evan; Rogers, Sally",Exploration Seashore,,English,,United States,Manchester,Marine Conservation Society,Ross-on-Wye,,,,1980
2010,"Jones, Evan; Swift, Todd",Modern Canadian Poets: An Anthology Of Poems In English,,English,,United States,Canada,Carcanet Press,Manchester,,Poetry Collection,,2010
1970,"Jordan, Elizabeth G.",Tales Of The Cloister,,English,,United States,,Books for Libraries Press,"Freeport, N.Y.",,Fiction (Short Story Collection),,1970
1901,"Jordan, Elizabeth G.",Tales Of The Cloister,,English,,United States,,HarperCollins,New York; London,,Fiction (Short Story Collection),,1901
2012,"Jordan, Elizabeth G.",Tales Of The Cloister,,English,,United States,,Hardpress Publishing,Place of publication not identified,,Fiction (Short Story Collection),,2012
1903,"Jordan, Elizabeth G.",Tales Of The Cloister,,English,,United States,,HarperCollins,New York; London,,Fiction (Short Story Collection),"[10], 3-252, [4] pages, 13 unnumbered leaves of plates",1903
1901,"Jordan, Elizabeth G.",Tales Of The Cloister,,English,,United States,,HarperCollins,New York; London,,Fiction (Short Story Collection),,1901
2012,"Josie, Peter",Shattered Dreams: A Political Odyssey In Post-Independence,,English,,,,Trafford Publishing,,,Autobiography/Memoir,,2012
2020,"Kanor, Fabienne",Humus,,English,,France,,University of Virginia Press,,,,,2020
2014,"Katz, Jonathan M",The Big Truck That Went By: How The World Came To Save Haiti And Left Behind A Disaster,,English,,United States,,St. Martin's Griffin,,,,,2014
2005,"Keens-Douglas, Paul",Twice Upon A Time: Poetry & Short Stories,,English,,Trinidad & Tobago,,Keensdee Productions,"Diego Martin, Trinidad & Tobago",,Fiction (Short Story Collection),,2005
2007,"Keens-Douglas, Paul","""Well Let Me Tell You ..."": An Evening With Paul Keens-Douglas",,English,,Trinidad & Tobago,,Keensdee Productions,"Diego Martin, Trinidad & Tobago",,,,2007
1997,"Keens-Douglas, Paul",The Best Of Paul Keens-Douglas. Vol. One,,English,,Trinidad & Tobago,,Keensdee Productions,"Diego Martin, Trinidad & Tobago",,,,1997
1997,"Keens-Douglas, Paul",Role Call: Poetry And Short Stories,,English,,Trinidad & Tobago,,Keensdee Productions,,,,,1997
1989,"Keens-Douglas, Paul",Twice Upon A Time: Poetry & Short Stories,,English,,Trinidad & Tobago,,Keensdee Production,"Port of Spain, Trinidad",,,,1989
2002,"Keens-Douglas, Paul",Tanti At De Oval: Selected Works Of Paul Keens-Douglas,,English,,Trinidad & Tobago,,Seijusha,"Tokyo, Japan",,,,2002
2008,"Keens-Douglas, Paul","""As Ah Was Sayin' ..."": Selected Works Of Paul Keens-Douglas. vol. III",,English,,Trinidad & Tobago,,Keensdee Productions,"Diego Martin, Trinidad & Tobago",,,,2008
1975,"Keens-Douglas, Paul",When Moon Shine,,English,,Trinidad & Tobago,,Keensdee Productions,"Port-of-Spain., Trinidad",,Fiction (Short Story Collection),,1975
1979,"Keens-Douglas, Paul",When Moon Shine,,English,,Trinidad & Tobago,,College Press,Port of Spain,,Fiction (Short Story Collection),,1979
1976,"Keens-Douglas, Paul","""Tim Tim""",,English,,Trinidad & Tobago,,Keensdee Productions,,,,,1976
1989,"Keens-Douglas, Paul","""Tim Tim"": The Dialect Poetry Of Paul Keens-Douglas",,English,,Trinidad & Tobago,,Keensdee Productions,Trinidad,,,,1989
1980,"Keens-Douglas, Paul",Tanti At De Oval: Selected Works Of Paul Keens-Douglas,,English,,Trinidad & Tobago,,Zenith,Trinidad,,,,1980
1992,"Keens-Douglas, Paul",Tanti At De Oval: Selected works Of Paul Keens-Douglas,,English,,Trinidad & Tobago,,Zenith,Trinidad & Tobago,,,,1992
1979,"Keens-Douglas, Paul",Tell Me Again,,English,,Trinidad & Tobago,,Keensdee Productions,,,,,1979
2005,"Keens-Douglas, Paul",Twice Upon A Time: Poetry & Short Stories,,English,,Trinidad & Tobago,,Keensdee Productions,"Diego Martin, Trinidad & Tobago",,,,2005
2000,"Keens-Douglas, Paul",Crick ... Crack ... Cricket!!: A Humourous Look At Cricket,,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2000
2000,"Keens-Douglas, Paul","Las' Lap: Farewell To The Nineties : The Humour, Poetry And Storytelling",,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2000
2002,"Keens-Douglas, Paul","It's The Little Things: The Poetry, Humour, Poetry And Storytelling",,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2002
2001,"Keens-Douglas, Paul",The Best Of Paul Keens-Douglas. Vol. 2,,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2001
2003,"Keens-Douglas, Paul",It' Not Easy: The Best Of Paul Keens-Douglas. Vol. 3,,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2003
2005,"Keens-Douglas, Paul",My Daddy ... Is De Best: Stories For The Family,,English,,Trinidad & Tobago,,Keensdee Productions,Diego Martin,Trinidad & Tobago,,,2005
2004,"Keens-Douglas, Richardo",Tales From The Isle Of Spice,,English,,Grenada,,Annick Press,Toronto,,Fiction (Short Story Collection),,2004
1994,"Keens-Douglas, Richardo",La Diablesse And The Baby: A Caribbean Folktale,,English,,Grenada,,Annick Press,,,Short Story,,1994
2020,"Kellman, Anthony",Tracing JaJa,,English,,Barbados,,Peepal Tree Press,,,,,
2011,"Kelly, Ivory",Brackish Water: Stories,,English,,Belize,,East Carolina University,"Greenville, N.C.",,,,2011
2013,"Kempadoo, Oonya",All Decent Animals,,English,,England,,"Farrar, Straus and Giroux",New York,,,,2013
2002,"Kempadoo, Peter",Guyana Boy,,English,,Guyana,,Peepal Tree Press,"Leeds, England",,Fiction (Novel),,2002
1960,"Kempadoo, Peter",Guiana Boy,,English,,Guyana,,New Literature,"Crawley, Sussex, Eng.",,Fiction (Novel),,1960
1986,"Khan, Ismith",The Crucifixion,,English,,Trinidad & Tobago,,Peepal Tree Press,"Leeds, Yorkshire",,Fiction (Novel),,1986
1994,"Khan, Ismith",A Day In The Country And Other Stories,,English,,Trinidad & Tobago,,Peepal Tree Press,"Leeds, Yorkshire, England",,Fiction (Short Story Collection),,1994
1994,"Khan, Ismith",A Day In The Country And Other Stories,,English,,Trinidad & Tobago,,Peepal Tree Press,"Leeds, Yorkshire, England",,Fiction (Short Story Collection),,1994
1986,"Khan, Ismith",The Crucifixion,,English,,Trinidad & Tobago,,Peepal Tree Press,,,,,1986
1987,"Khan, Ismith",The Crucifixion,,English,,Trinidad & Tobago,,Peepal Tree Press,,,,,1987
2007,"Khan, Ismith",The Crucifixion,,English,,Trinidad & Tobago,,Peepal Tree Press,Leeds,,,,2007
1964,"Khan, Ismith",The Obeah Man,,English,,Trinidad & Tobago,,Hutchinson,London,,,,1964
1995,"Khan, Ismith",The Obeah Man,,English,,Trinidad & Tobago,,TSAR Publications,Toronto,,,,1995
1961,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Longman Inc.,Essex,,,,1961
1963,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Ivan Obolensky Inc.,New York,,,,1963
1974,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Longman Inc.,Trinidad,,,,1974
1985,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Longman Inc.,Harlow,,,,1985
1988,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Longman Inc.,Harlow,,,,1988
1990,"Khan, Ismith",The Jumbie Bird,,English,,Trinidad & Tobago,,Longman Inc.,London,,,,1990
