city,country,pub_location,PlaceID,Latitudes,Longitudes
Lexington,United States,"Lexington, United States",lexington_united_states,38.046407,-84.497039
Schleswig-Holstein,Germany,"Schleswig-Holstein, Germany",schleswig_holstein_germany,54.47004,9.51416
"Los Angeles, CA",United States,"Los Angeles, CA, United States",los_angeles_ca_united_states,34.053691,-118.24277
Habana,Cuba,"Habana, Cuba",habana_cuba,35.059289,-78.973537
Simsbury,United States,"Simsbury, United States",simsbury_united_states,41.875915,-72.801221
Fort-de France,Martinique,"Fort-de France, Marinique",fort_de_france_marinique,14.60722,-61.06944
Montréal,Canada,"Montréal, Canada",montréal_canada,45.497216,-73.610364
Nendeln,Liechtenstein,"Nendeln, Liechtenstein",nendeln_liechtenstein,48.222271,16.3598855
Montevideo,Uraguay,"Montevideo, Uraguay",montevideo_uraguay,-34.888455,-56.074116
Cambridge,United States,"Cambridge, United States",cambridge_united_states,42.3751,-71.105616
Le Lamentin,Martinique,"Le Lamentin, Martinique",le_lamentin_martinique,14.61528,-61.00194
Glasglow,Scotland,"Glasglow, Scotland",glasglow_scotland,55.860983,-4.248879
Peterborough,Canada,"Peterborough, Canada",peterborough_canada,44.304801,-78.31995
Lewiston,United States,"Lewiston, United States",lewiston_united_states,44.100351,-70.214776
Roseau,Dominica,"Roseau, Dominica",roseau_dominica,15.2984622,-61.387505
"Long Grove, IL",United States,"Long Grove, IL, United States",long_grove_il_united_states,42.178358,-87.997852
Halifax,Canada,"Halifax, Canada",halifax_canada,44.63895,-63.566013
Hamilton,Bermuda,"Hamilton, Bermuda",hamilton_bermuda,32.301136,-64.793053
Ohio,United States,"Ohio, United States",ohio_united_states,40.4174201,-82.711449
Cardiff,Wales,"Cardiff, Wales",cardiff_wales,51.481655,-3.179193
Scotts Valley,United States,"Scotts Valley, United States",scotts_valley_united_states,37.05106,-122.01468
"Atlanta, GA",United States,"Atlanta, GA, United States",atlanta_ga_united_states,33.748992,-84.390264
Burton,United States,"Burton, United States",burton_united_states,42.989733,-83.633503
Santiago,Cuba,"Santiago, Cuba",santiago_cuba,-33.440693,-70.646055
Matanzas,Cuba,"Matanzas, Cuba",matanzas_cuba,23.0511,-81.5753
Honfleur,Frane,"Honfleur, Frane",honfleur_frane,49.419722,0.233889
Aarhus,Denmark,"Aarhus, Denmark",aarhus_denmark,56.149628,10.213405
Leatherhead,England,"Leatherhead, England",leatherhead_england,51.295504,-0.329369
Liverpool,England,"Liverpool, England",liverpool_england,53.407199,-2.99168
"Vancouver, BC",Canada,"Vancouver, BC, Canada",vancouver_bc_canada,49.279862,-123.11684
La Roque-d'Anthéron,France,"La Roque-d'Anthéron, France",la_roque_d'anthéron_france,43.715096,5.312221
"Cleveland, OH",United States,"Cleveland, OH, United States",cleveland_oh_united_states,41.505161,-81.693445
Rijswijk,Netherlands,"Rijswijk, Netherlands",rijswijk_netherlands,52.044627,4.318821
McHenry,United States,"McHenry, United States",mchenry_united_states,42.343143,-88.267488
Bethesda,United States,"Bethesda, United States",bethesda_united_states,38.984827,-77.094646
"Greenville, SC",United States,"Greenville, SC, United States",greenville_sc_united_states,34.851354,-82.398488
Matoury,Guyana,"Matoury, Guyana",matoury_guyana,4.85056,-52.33111
"Holiday, FL",United States,"Holiday, FL, United States",holiday_fl_united_states,28.18779,-82.739545
Pinar del Río,Cuba,"Pinar del Río, Cuba",pinar_del_río_cuba,23.141907,-82.374474
Guayaquil,Ecuador,"Guayaquil, Ecuador",guayaquil_ecuador,-2.18333,-79.88333
Holguín,Cuba,"Holguín, Cuba",holguín_cuba,20.64,-74.9175
Ciego de Ávila,Cuba,"Ciego de Ávila, Cuba",ciego_de_ávila_cuba,21.8481,-78.7631
Leiden,Netherlands,"Leiden, Netherlands",leiden_netherlands,52.159475,4.490884
Puebla,Mexico,"Puebla, Mexico",puebla_mexico,19.05139,-98.21778
Camaguey,Cuba,"Camaguey, Cuba",camaguey_cuba,21.37861,-77.91861
Paraná,Brazil,"Paraná, Brazil",paraná_brazil,-24.431337,-51.631761
Oxfordshire,England,"Oxfordshire, England",oxfordshire_england,51.8333,-1.25
Guilin,China,"Guilin, China",guilin_china,25.26667,110.28333
Willimantic,United States,"Willimantic, United States",willimantic_united_states,41.713125,-72.217885
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad and Tobago",port_of_spain_trinidad_and_tobago,10.66667,-61.51667
Basingstoke,England,"Basingstoke, England",basingstoke_england,51.262826,-1.086198
Göttingen,Germany,"Göttingen, Germany",göttingen_germany,51.532833,9.935181
Charles Village,United States,"Charles Village, United States",charles_village_united_states,39.321683,-76.616785
"Baltimore, MD",United States,"Baltimore, MD, United States",baltimore_md_united_states,39.290882,-76.610759
